Title,Rated,Released,Runtime,Director,Writer,Actors,Language,Country,Awards,Metascore,imdbRating,imdbVotes,BoxOffice,Production,Genre1,Genre2,Genre3
Barbie,PG-13,21 Jul 2023,114,Greta Gerwig,"Greta Gerwig, Noah Baumbach","Margot Robbie, Ryan Gosling, Issa Rae","English, Spanish","United States, United Kingdom",2 wins & 1 nomination,80,7.4,238040,541907382,,Adventure,Comedy,Fantasy
Oppenheimer,R,21 Jul 2023,180,Christopher Nolan,"Christopher Nolan, Kai Bird, Martin Sherwin","Cillian Murphy, Emily Blunt, Matt Damon","English, German, Italian","United States, United Kingdom",2 wins & 1 nomination,88,8.6,402067,302215760,,Biography,Drama,History
Past Lives,PG-13,23 Jun 2023,105,Celine Song,Celine Song,"Greta Lee, Teo Yoo, John Magaro","English, Korean","United States, South Korea",4 wins & 8 nominations,94,8.2,15336,10787719,,Drama,Romance,
Spider-Man: Across the Spider-Verse,PG,02 Jun 2023,140,"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","Phil Lord, Christopher Miller, Dave Callaham","Shameik Moore, Hailee Steinfeld, Brian Tyree Henry",English,United States,3 wins & 1 nomination,86,8.7,252325,381281287,,Animation,Action,Adventure
Air,R,05 Apr 2023,111,Ben Affleck,Alex Convery,"Matt Damon, Jason Bateman, Ben Affleck",English,United States,3 wins & 5 nominations,73,7.4,140226,52460106,,Drama,Sport,
