Title,Rated,Released,Runtime,Director,Writer,Actors,Language,Country,Awards,Metascore,imdbRating,imdbVotes,BoxOffice,Production,Genre1,Genre2,Genre3
Hocus Pocus,PG,16 Jul 1993,96,Kenny Ortega,"David Kirschner, Mick Garris, Neil Cuthbert","Bette Midler, Sarah Jessica Parker, Kathy Najimy","English, French",United States,2 wins & 11 nominations,43,6.9,147242,44342713,,Comedy,Family,Fantasy
Mean Girls,PG-13,30 Apr 2004,97,Mark Waters,"Rosalind Wiseman, Tina Fey","Lindsay Lohan, Jonathan Bennett, Rachel McAdams","English, German, Vietnamese, Swahili","United States, Canada",7 wins & 25 nominations,66,7.1,406583,86058055,,Comedy,,
Dazed and Confused,R,24 Sep 1993,103,Richard Linklater,Richard Linklater,"Jason London, Wiley Wiggins, Matthew McConaughey",English,United States,1 win & 4 nominations,80,7.6,193521,7993039,,Comedy,,
Die Hard,R,20 Jul 1988,132,John McTiernan,"Roderick Thorp, Jeb Stuart, Steven E. de Souza","Bruce Willis, Alan Rickman, Bonnie Bedelia","English, German, Italian, Japanese",United States,Nominated for 4 Oscars. 8 wins & 6 nominations total,72,8.2,911376,83844093,,Action,Thriller,
The Rocky Horror Picture Show,R,31 Aug 1975,100,Jim Sharman,"Richard O'Brien, Jim Sharman","Tim Curry, Susan Sarandon, Barry Bostwick",English,"United Kingdom, United States",3 wins & 4 nominations,65,7.4,160258,112892319,,Comedy,Horror,Musical
The Princess Bride,PG,09 Oct 1987,98,Rob Reiner,William Goldman,"Cary Elwes, Mandy Patinkin, Robin Wright",English,United States,Nominated for 1 Oscar. 7 wins & 10 nominations total,77,8.0,440060,30857814,,Adventure,Comedy,Family
Singin' in the Rain,G,10 Apr 1952,103,"Stanley Donen, Gene Kelly","Betty Comden, Adolph Green","Gene Kelly, Donald O'Connor, Debbie Reynolds",English,United States,Nominated for 2 Oscars. 8 wins & 9 nominations total,99,8.3,252643,1884537,,Comedy,Musical,Romance
